Language,Latitude,Longitude
FijianBau,-17.973,178.615
Marquesan,-8.894,-140.108
Hawaiian,19.63,-155.43
Rarotongan,-21.23,-159.78
Nukuoro,3.84,154.975
Maori,-38.288,176.541
Rotuman,-12.501,177.066
Samoan,-13.92,-171.83
Tongan,-21.17,-175.25
Tikopia,-12.277,168.822
Rennellese,-11.667,160.167
EastFutuna,-14.279,-178.137
Kapingamarangi,1.039,154.797
Luangiua,-5.49,159.701
Mangareva,-23.11,-134.97
Tuamotu,-16.173,-146.322
EastUvea,-13.29,-176.207
RapanuiEasterIsland,-27.113,-109.342
SouthIslandMaori,-43.27,171.37
Tahitian,-17.648,-149.45
